이름,플랫폼,작가,그림,장르,상태,요일,좋아요,별점,총화수,무료,줄거리,첫화링크
당신이 원하는 게 제 심장인가요,naverseries,일각수,메엔,순정,완결,금,1,8.9,80,2화,"[바다의 이종족과 인간 제국 간의 전란이 오래 지속되고 있는 세상]인간과 바다 종족 간의 휴전 조약의 증표로 인간 제국에 인질로 보내진 코델리아그러나 성년이 되던 날 인간 황제로부터 심장이 도려내져서 죽임을 당한다숨이 끊어지기 직전, 우연히 회귀하게 된 코델리아는 자신이 살해당한 이유에 엄청난 비밀이 있었다는 것을 알게 되고,같은 결말을 피하고자 황제에게 거래를 제안해 황궁을 탈출하려 하는데접기",https://series.naver.com/comic/detail.series?productNo=9913494&sortOrder=DESC#priceInfo
독보소요,naverseries,,요요,소년,연재중,목,5,8.9,344,5화,"하늘에서 뚝 떨어진 사내, 강지훈안 씨 가문의 아가씨, 안지연의 데릴사위가 되다?낯선 땅에 떨어지자마자 혼례를 올리게 된 지훈은 천화종의 장로에게 목숨을 위협받게 된다기지를 발휘해 아수라장을 빠져나갔지만 사방에 위험이 도사리고 있는 그에게 믿을 건 수련 뿐밤낮없이 수련했지만 성과를 얻지 못한 그는 우연히 안 씨가문 내전에 의해지하궁으로 빠지게 되고 그곳에서 모든 이들이 탐내는 보물 '황금천서'를 발견한다황금천서를 얻은 지훈, 그는 과연 천하제일의 고수가 되어 강호를 주름잡을 수 있을 것인가접기",https://series.naver.com/comic/detail.series?productNo=5280102&sortOrder=DESC#priceInfo
토마토가 돼라!,naverseries,,뮤리,순정,일시적 휴재,일,31,10.0,65,60화,껄렁한 겉모습으로 인해 음험한 소문을 몰고 다니는 시골 토박이 전학생 신이석은 첫눈에 반한 전교 1등 수재 조해주의 앙큼한 비밀을 목격하게 되고그에 대한 의문은 점차 눈덩이처럼 불어나기만 한다겉만 번지르르 붉고 속은 흰 사과 같은 조해주에게 진성 토마토 신이석의 짝사랑 폭격이 시작된다접기,https://series.naver.com/comic/detail.series?productNo=9345043&sortOrder=DESC#priceInfo
마황귀환록,naverseries,,소명태극,무협,연재중,화,7,7.8,259,8화,"한 때, 구유 대제라 불리었던 적소 대왕, 고천랑선계와 마계 그리고 저승까지 평정했던 그였지만천계의 벌을 받아 죽을 위기에 놓이게 된다하지만, 자신의 법보였던 적멸고옥 덕분에 살아남게 되었고 적염령에서 깨어났을 때,그가 천계의 벌을 받음으로부터 몇 백년의 세월이 지난 뒤였다본래의 힘을 잃고 인간이 된 그였지만 자신을 벌한 천계에 복수하기 위해 여정을 떠난다접기",https://series.naver.com/comic/detail.series?productNo=5695043&sortOrder=DESC#priceInfo
100만 년 만에 귀환하다,naverseries,삼계동화,삼계동화,무협,연재중,화,3,7.0,219,6화,"멀고도 아득한 세월, 백만 년 대륙이 갈라지고 끝없는 전쟁이 일어나는 동안 마강진은 속박의 땅에 갇혀있었다 해방되어 세상에 나온 그는 제자들이 그의 몸을 되찾기 위해 목숨을 내걸었다는 것을 알 수 있었고, 이에 복수를 다짐한다 우선 근처 문파에 의탁해 수련하며 실력을 기르기로 하는데, 마침 근처에 자신의 제자가 세운 문파, 영계종이 있다는 사실을 알게된다 제자가 없는 세월 동안 몰락 직전까지 간 영계종 마강진은 먼저 영계종으로 들어가 그곳을 부흥시키기로 한다 그러면서 그는 갇혀 있던 세월 동안의 실마리를 차근차근 풀어나가기 시작하는데접기",https://series.naver.com/comic/detail.series?productNo=8602428&sortOrder=DESC#priceInfo
사상 최강 남주,naverseries,ruohong,ruohong,무협,연재중,화,2,9.0,233,5화,"이세계 무협 세계관에 빙의한 주인공, 조강유그는 빙의하자마자 99번의 납치,32번의 죽을 고비를 넘긴다갖은 위기 속에서겨우 목숨을 부지한 그는 우연히'소요문(逍謠門)'에 들어가게 되고…""그런데, 알고보니 내가 이세계 최강자?""라는 설정처럼 엄청난 자질을 갖고 있다는 걸깨닫게 되는데…접기",https://series.naver.com/comic/detail.series?productNo=8612332&sortOrder=DESC#priceInfo
환생불사,naverseries,,ciweimao,무협,연재중,화,6,9.2,155,4화,"과로사로 죽어버린 줄만 알았는데 눈을 떠보니 웬 무협 세계가?이대로 새 인생을 사는가 싶었더니 자칭 '잉여승천 시스템'이 나타나 열심히 살지 말고 잉여롭게 살다 죽어야만 다음 생에 최강이 될 수 있단다 단, 고의적인 사망은 제외안 돼 최강이 되어 삼천 후궁들을 맞이하려 했더니만잠깐, 그렇다는 건 피치 못하게 죽으면 돼좋아 그럼 어디 한번 열심히 죽어보자접기",https://series.naver.com/comic/detail.series?productNo=8226719&sortOrder=DESC#priceInfo
좀비묵시록 82-08,naverseries,달아,경우,소년,일시적 휴재,일,13,9.2,48,40화,탕-의문의 선박 속'그것'으로부터 시작된 괴이한 전염병은서울을 죽음의 도시로 만들어버린다예고 없이 닥쳐온 심판의 그날부터세상의 모든 질서는 완전히 리셋되었다처절한 생존 경쟁 속에서프로젝트명 [좀비묵시록 82-08]이 시작된다접기,https://series.naver.com/comic/detail.series?productNo=10100875&sortOrder=DESC#priceInfo
내가 왜 킬러?!,naverseries,규잉,규잉,소년,연재중,일,3,10.0,24,19화,"뜻하지 않게 언더커버 요원이 된 '조', 본래 목표였던 사무직으로 옮겨가기 위해선 이번 임무를 완수해야 한다 바로 범죄조직 산하의 극악무도한 킬러 집단 '들개들' 잠입수사 무시무시한 킬러들에게서 정보를 빼내기 위해 같은 킬러로 위장하고 숨어들었지만 어째선지 조의 킬러로서의 명망이 점점 높아지는데우당탕탕 코믹 잠입수사기접기",https://series.naver.com/comic/detail.series?productNo=10586946&sortOrder=DESC#priceInfo
수상한 다이어트 클럽,naverseries,스프링,스프링,드라마,연재중,일,7,9.4,11,6화,"모태 통통 ‘고양순’은 부모님의 등쌀에 못이겨 박박사 다이어트 클럽에 입소한다 어딘가 수상해 보이는 박박사지만, 그녀의 이력 만큼은 누구보다 확실하다 성공률 100%를 자랑하는 이곳의 퇴소 조건은 단 하나, ‘목표 체중을 다 감량해야만 하는 것'  과연 100kg가 넘는 양순 역시 다이어트에 성공, 웃으며 이곳을 나설 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=10877028&sortOrder=DESC#priceInfo
신은 주사위 놀이를 하는가?,naverseries,황동,SECAN STUDIO,소년,연재중,일,9,9.5,42,3화,"어느날 갑자기 신들의 게임에 소환된 도시최율은 첫지급 보상으로 모든 게임의 공략을 보여주는'독식의 제물 크라시나 서'를 습득한다그러나, 아이템의 능력은 공략을 공유한 모든 이들의보상을 독식하는 것양날 검의 아이템을 얻은 최율은 이 게임에서끝까지 살아남을 수 있을 것인가접기",https://series.naver.com/comic/detail.series?productNo=10264125&sortOrder=DESC#priceInfo
달이 뜨지 않는 도시,naverseries,뚱귤,뚱귤,소년,연재중,일,2,10.0,9,5화,"불행한 삶을 사는 여고생 하정의 유일한 낙은 인플루언서 ‘달달룬’의 일상을 훔쳐보는 것이다하정은 그녀에게 집착 수준의 애정을 갖고 집안 월패드까지 해킹해서 아주 사적인 삶조차 샅샅이 훔쳐본다 평소와 같이 달달룬의 방을 훔쳐보던 어느날 하정은 달달룬의 죽음을 목격하게 되고, 다음날 죽은 그녀의 몸에 빙의된 자신을 발견하게 되는데…2023 지상최대공모전 1기 우수상 수상작접기",https://series.naver.com/comic/detail.series?productNo=10922761&sortOrder=DESC#priceInfo
칼가는 소녀,naverseries,오리,오리,드라마,연재중,15일,343,9.9,195,192화,치사율 100%의 인싸 희귀병 소녀 '사랑'누구보다 차분하고 두려움 없는 같은 반 소녀 '은조'두 소녀는 가슴 속 칼을 품고 세상을 향한 복수를 꿈꾼다접기,https://series.naver.com/comic/detail.series?productNo=4282559&sortOrder=DESC#priceInfo
북부 공작님을 유혹하겠습니다,naverseries,주시하/가천가,은하수,순정,연재중,일,103,10.0,81,76화,"“내 애인인 척 사교계에 들어가”전 세계에서 주목하는 톱스타, 셀리나는촬영 중 갑작스러운 사고로 북부 공작의 땅에 차원 이동한다마수에게서 목숨을 구해준 북부 공작, 칼시온은셀리나에게 자신의 애인인 척 사교계에 들어가정보를 입수하라는 계약을 제시하는데접기",https://series.naver.com/comic/detail.series?productNo=8443269&sortOrder=DESC#priceInfo
헬크래프트,naverseries,나락,영기,소년,연재중,일,11,9.8,70,65화,"세상에 배신당해 방구석으로 도망친 고등학생 염승기새로운 지옥의 주인으로 지목된 대악마 바함무르크바함무르크는 자신의 지옥 제작자로서 염승기를 선택하고,지옥 제작의 대가로 염승기에게 수감자를 고를 권리를 준다복수를 위해 악마와 손을 잡은 염승기, 그렇게 윈윈의 관계로 끝날 줄 알았는데갑자기 시작된 데스게임-살아남기 위해선 지옥에 보내라접기",https://series.naver.com/comic/detail.series?productNo=8865884&sortOrder=DESC#priceInfo
제국 제일의 상속녀가 되었습니다,naverseries,한강,한강,순정,연재중,일,16,9.6,42,37화,"사람들이 기피하는 백색병에 걸려 힘겹게 살던 '에스텔'어느 날 주인공 '세리아'의 등장으로 전생을 떠올려 자신이 소설 속 엑스트라에게 빙의된 것임을 깨닫는다어렸을 적 하녀의 아이와 바뀌었단 이유로 집에서 쫓겨난 에스텔은 발루아가 형제들의 도움으로 목숨을 건지게 되고, 본래라면 세리아와 이어지는 남주인공 '클로드'와 엮이기 시작하는데접기",https://series.naver.com/comic/detail.series?productNo=10066660&sortOrder=DESC#priceInfo
공녀님의 꽃밭에는 그들이 산다,naverseries,검오리,영락,순정,연재중,일,30,9.8,31,25화,"가족의 사랑을 받고 싶어 새로 얻게 된 삶에 사랑을 바랬다 그런데 웬걸? 정령왕의 인장 덕에 정령사의 자질을 갖고 태어났는데부모님과 두 오라버니들은 한없는 애정을 퍼붓고, 기사단은 제발 호위로 뽑아달라며 졸졸 따라다니기 일쑤다 게다가 ""네 가벼운 바람은 내 간절한 염원이라는 것을 왜 몰라줄까"" 동(東) 마계 지배자인 제 2악마는 시선 한번 달라 애원하고, ""좋은 황제가 되고 싶다 네가 편안히 머무르는 것으로 족할 제국을 만드는 황제가"" 소꿉친구인 황태자는 날 위해 강한 제국을 만들겠다 선포한다  [우리 병아리 앞에 다 무릎을 꿇어라] 계약한 정령들이 입버릇처럼 외치는 것은 덤 모두가 깨물지 못해 안달 난 병아리의 본격 꽃길 걷기접기",https://series.naver.com/comic/detail.series?productNo=10401562&sortOrder=DESC#priceInfo
"사랑, 그거 어떻게 하는 건데",naverseries,이범,이범,순정,연재중,일,7,10.0,18,13화,"베스트셀러 작가 이시원 그가 쓴 범죄 스릴러 소설 <밧줄>에 나온 것과 똑같은 수법의 살인 사건이 현실에서 일어난다 피해자가 나왔고, 범인은 아직 잡히지 않았다 시원은 죄책감과 트라우마로 스릴러 대신 로맨스를 쓰겠다고 마음 먹는데'이시원이 로맨스라고? 매 소설마다 사람 다섯은 죽이는 그 이시원이?'결국 시원은 '사랑'을 배우기 위해 오랜 친구 소담에게 연애 제안을 한다 과연 그들은 사랑과 범인을 모두 잡을 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=10317885&sortOrder=DESC#priceInfo
별난식당,naverseries,HO9,HO9,드라마,연재중,일,23,10.0,67,64화,"특급호텔에서 최연소 팀장에 오르며 승승장구하던 주인공 한별은 퇴사를 하고 작은 식당을 차린다그 식당의 이름은 '별난식당'보통 식당은 상권이 좋은 동네에 차리기 마련인데 이 별난식당은 상권이라고는 찾아볼 수 없는, 서울에서 제일 가난한 동네인 부자동에 위치해 있다또한 메뉴도 별나다 바로 메뉴가 없기 때문이다 메뉴가 없이 한별 셰프가 그때그때 제철 식재료를 이용해 요리를 만드는 식당이다이 식당의 특별한 점은 요리를 먹는 손님이 마음까지 위로 받는다는 것한별 셰프는 대체 어떠한 방법으로 마음의 상처가 있는 많은 손님들을 요리로 치유하는 것일까?접기",https://series.naver.com/comic/detail.series?productNo=9378185&sortOrder=DESC#priceInfo
진주,naverseries,박만사,백두,드라마,연재중,일,18,9.3,32,27화,"부산 최대 파벌 ‘주성회’의 보스 진주현어느 날 안암 판정을 받은 그는 자신의 고향, 경남 진주로 내려가 게스트하우스 여주인 ‘현진주’를 만나 난생 처음 평범한 삶을 꿈꾸기 시작한다 그러나 그가 새로운 삶을 꿈꿀수록 과거 뒷세계와의 지독한 악연이그를 피할 수 없는 절대절명의 싸움으로 끌어 들이는데접기",https://series.naver.com/comic/detail.series?productNo=10393129&sortOrder=DESC#priceInfo
링 오브 가디언,naverseries,열문×대행도,열문×대행도,소년,연재중,월,3,8.1,359,5화,"자신을 지원해 주고 보호해 줄 부모도 없이 아득바득 아르바이트와 장학금으로  생계를 유지하고 있던 김우혁        어느 날 우혁은 한 반지를 줍게 된다 하지만 쓸데없는 것에 시간을 쏟을 여유가 없어 버리고 가려던 찰나        [ 앞으로 16시간 내로 지구에 생화확적 바이러스가 폭발해 좀비가 창궐하게 됩니다 넘버 제로, 인류를 구원하십시오 ]        라는 반지의 허무맹랑한 말에 우혁의 인생은 완전히 뒤바뀌어버린다        우혁은 과연 좀비들을 모두 물리치고 인류를 구할 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=6630031&sortOrder=DESC#priceInfo
어웨이크닝: 회귀 플레이어,naverseries,,MOKF,소년,연재중,월,2,8.0,167,4화,"때는 2060년,가상현실 MMORPG 게임 [스카이 필드]가 오픈하면서세상 사람들은 이 게임에 열광하게 된다그 이유는 바로 이 게임에서 전직 후 [각성]이라는 것을 하게 되면현실에서도 게임 속 스킬을 구현하는 것이 가능하였기 때문이다하지만, [각성]은 불가능에 가까울 정도로 힘들었기 때문에만렙이 되어도 각성하지 못한 자들이 많았다 게임 오픈 후 1년 늦게 시작한 주인공, 김성준은 각성자가 되기 위해엄청난 노력과 시간을 게임에 쏟아부었고 그렇게 만렙이 되었지만 그 1년 사이에수많은 유저들의 경쟁에서 밀려나게 되었고 게임 속에나 현실에서나 차가운 대접을받으며 세상의 부조리함을 느끼게 된다그러던 어느 날, 평소처럼 파티 사냥에 참가하여 게이트로 들어가게 되는데게이트에서 버그가 발생하는 전대미문의 사고가 발생하게 되고 김성준의 몸은 점차사라지게 되며 자신이 어떻게 되는지도 모르는 채 계정자체가 사라지게 된다다시 눈을 떴을 때, 그는 자신의 캐릭터와 닮은 몸이 되어있었고상황을 파악했을 때, 그는 [스카이 필드]가 오픈된 지 3개월 전 시점으로돌아가게 되었다는 사실을 알게 된다현실에서도 게임에서도 혼자 외로이 세상과 싸워왔던 김성준,이번에야말로 만렙을 찍고 최강이 되어 '각성자'가 되기로 결심하는데접기",https://series.naver.com/comic/detail.series?productNo=8115729&sortOrder=DESC#priceInfo
전설 헌터로 키워지는 중입니다,naverseries,Beimuliuhuo,Cat Comics,소년,연재중,월,10,8.5,189,6화,"[플레이어와 연결 완료, 전설 헌터 육성 시스템 ARES가 발동합니다]아버지의 누명을 벗기기 위해 ‘미끼’로 레이드를 뛰어 살아가는 차낙영 죽기 직전의 그 순간, 전설 헌터 육성 시스템이 발동했다접기",https://series.naver.com/comic/detail.series?productNo=8206889&sortOrder=DESC#priceInfo
신혼무제,naverseries,정의선생,DXD Animation,무협,연재중,2일,4,7.4,206,4화,"대봉 왕조의 강천 마을에 사는 소년 임찬 그가 각성한 신혼은 폐신혼으로, 뭇사람의 비웃음을 산다 그러나 그의 신혼인 ‘생사관’은 10대 신혼 중 하나로, 특별한 힘을 가진 특수 신혼이었는데 게다가, '생사관'에 자신의 영혼을 숨겨두었던, 능력과 미모를 갖춘 궁천설을 만나게 되면서 그녀의 도움으로 그는 신혼 무제의 자리까지 오르게 된다접기",https://series.naver.com/comic/detail.series?productNo=6450059&sortOrder=DESC#priceInfo
만렙돌파,naverseries,성불예정,미노,소년,연재중,일,103,8.9,148,143화,"알 수 없는 오류로 3000년간 각성 테스트에 갇힌 김기봉그 사이 현실에선 10년이 흘렀고, 온 세상은 몬스터와 던전으로 가득차게 되었다 만렙으로 귀환한 김기봉의 모든 것을 원래대로 돌려놓기 위한 싸움이 시작된다접기",https://series.naver.com/comic/detail.series?productNo=5679957&sortOrder=DESC#priceInfo
더블클릭,naverseries,김장훈,박수봉,소년,연재중,일,73,9.9,147,143화,악명 높은 난이도를 가진 게임의 세계 랭킹 1위였던 지호서비스 종료된 줄만 알았던 그 게임이 새롭게 돌아왔다지호는 다시 한번 랭킹 1위를 꿈꾸며 게임 동아리에 입부한다오랜만에 게임을 해도 살아있는 감각 하지만 게임이 새롭게 변하면서 예상치 못한 약점이 생긴다강한 상대를 마주할수록 열정이 끓어오르는 주인공의 프로게이머 도전기접기,https://series.naver.com/comic/detail.series?productNo=6503332&sortOrder=DESC#priceInfo
윈드브레이커,naverseries,조용석,조용석,소년,연재중,일,3805,9.5,496,491화,자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마,https://series.naver.com/comic/detail.series?productNo=2146042&sortOrder=DESC#priceInfo
악당 가족이 독립을 반대한다,naverseries,밋츄,하티,순정,연재중,일,74,10.0,35,30화,"가족애 따위 없는 살벌한 악당 가문의 사생아, 다른 이들에게 못되게 굴던 악녀 엘로디가 되었다‘앞으로 3년 후, 언니가 입양될 거야 그리고 나는 살해당할 거야’정치적 도구로 입양했지만 사랑스러움으로 아빠는 물론이고 가문을 녹여 버릴 햇살 여주인언니가 등장하기 전까지 적당히 뒷돈 챙기다가 이 가문에서 독립하자 ……그랬는데“독립? 그게 무슨 개소리지?” “너한테 바람 불어 넣은 놈이 누구야” “누님, 혹시라도 가출할 생각은 아니겠지?” 가족들이 독립을 반대한다?접기",https://series.naver.com/comic/detail.series?productNo=10253838&sortOrder=DESC#priceInfo
여고생이 신인데 나만 괴롭힘,naverseries,박장고,이우,드라마,연재중,일,8,10.0,18,13화,"그냥 인생이 재수 없는 줄 알았는데, 알고 보니 여고생이 내 인생을 조작해서 괴롭히고 있던 거임ㄷㄷ",https://series.naver.com/comic/detail.series?productNo=10753720&sortOrder=DESC#priceInfo
뷰티풀 군바리,naverseries,설이,윤성원,드라마,연재중,일,11181,9.4,435,434화,'여자도 군대에 간다면?'본격 여자도 군대 가는 만화,https://series.naver.com/comic/detail.series?productNo=1844815
퀘스트지상주의,naverseries,박만사,박만사,소년,연재중,14일,129,9.0,136,132화,"[외모지상주의], [싸움독학], [인생존망]과 세계관을 공유하는 박태준 유니버스 스핀오프 작품공부, 싸움, 외모뭐 하나 잘난 것 없는 평범한 고등학생 ‘김수현’의 눈앞에 갑자기 퀘스트창이 나타났다첫 번째 퀘스트, [엄마한테 사과하기]를 완료한 수현은 보상으로 키가 3cm 커지게 되는데퀘스트 엄청 쉽잖아? 어떤 퀘스트든 완료해주마 그런데 다음 퀘스트가?[system] 학교 일진녀와 키스하십시오접기",https://series.naver.com/comic/detail.series?productNo=6707823&sortOrder=DESC#priceInfo
참교육,naverseries,채용택,한가람,소년,연재중,일,322,9.5,145,140화,지금부터 참교육이 시작된다,https://series.naver.com/comic/detail.series?productNo=5620215&sortOrder=DESC#priceInfo
마왕을 그만둔 이유,naverseries,이상혁,김대일,소년,연재중,일,5,9.6,21,16화,"혼돈의 시대마왕은 665세기 동안 대를 걸쳐 인간 세계를 침공했다그 처절한 전쟁을 막아 낸 것은 용사들그들의 거룩한 희생 속에서 인류는 간신히 살아남았다하지만 이건 새로운 마왕의 이야기마왕 데미우르고스 666세그는 한 마디를 던지고 돌연 마계를 떠나 버렸다""마왕 따위 그만두겠어""가출 마왕과 그의 부하가 된 용사그가 마왕을 그만둔 진짜 이유는?접기",https://series.naver.com/comic/detail.series?productNo=10654090&sortOrder=DESC#priceInfo
개같이 탈출,naverseries,갬쟈,갬쟈,드라마,연재중,일,25,9.8,42,37화,"""살아남으라고? 나는 자그만 말티즈란 말이야""세상 따뜻하고 포근한 가정집에서 살아온 삐용이 언니 품에서 그저 귀엽기만 하면 되는 견생이었는데 갑자기 가족들과 모든 인간이 사라져버렸다혼자서는 아무것도 할 줄 모르는데, 괴물 좀비 개들이 우글거리는 고립된 도시를 탈출해 언니를 만날 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=10111737&sortOrder=DESC#priceInfo
신의탑,naverseries,SIU,SIU,소년,연재중,일,20135,9.5,623,615화,자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년그리고 그런 소년을 시험하는 탑,https://series.naver.com/comic/detail.series?productNo=2140867&sortOrder=DESC#priceInfo
회귀한 공작가의 막내도련님은 암살자,naverseries,스윙뱃,스윙뱃,소년,연재중,일,13,9.7,21,11화,"대륙 제일의 암살자 시안 베르트평생을 믿고 따랐던 형에게 배신당한 뒤, 비참한 최후를 맞이한다만약 내게 한 번 더 생이 주어진다면 그때는 다른 삶을 살 것이다오로지 나 하나만을 바라보면서, 내 스스로 모든 것을 이룰 수 있는 누구도 섬기지 않는 그런 삶을 그렇게 맞이하게 된 두 번째 삶 더 이상 남을 위해 살던 그림자 시안 베르트는 없다다시 쓰는 인생 나를 위한 모든 것을 이룩하리라접기",https://series.naver.com/comic/detail.series?productNo=10719212&sortOrder=DESC#priceInfo
저주는 끝나지 않았다,naverseries,쑥쥬,치유,순정,연재중,월,좋아요,9.8,56,2화,"[ 저주로 인해 회귀한 카네펠리아의 복수를 위한 여정 ]사랑하는 남자 헬리스를 위해, 그리고 자신을 위해 자신의이복오빠이자 황제인 이안플리드를 죽이게 된 카네펠리아그 반동으로 저주에 걸리게 되어 8살로 회귀하게 된다돌아온 카네펠리아는 자신의 삶을 고통 속에 빠트렸던이안플리드에게 다시 한 번 완벽한 복수를 준비하고,더불어 이번 생에는 절대 헬리스와 엮이지 않음으로써그에게 행복한 삶을 선사할 것을 다짐한다접기",https://series.naver.com/comic/detail.series?productNo=10756156&sortOrder=DESC#priceInfo
나를 찾지 말아요,naverseries,사라진/혼즈,사사야,순정,일시적 휴재,월,11,9.7,26,4화,"정령을 보는 민족의 마지막 후손, 원수 집안의 후계자와 사랑에 빠지다정령의 힘을 다루는 유렌달 민족의 마지막 후손 유페미아그녀는 무정한 가족을 벗어나 페레디트 공작부인의 간병인이 되고, 그곳에서 만난 보좌관 시리우스와 사랑에 빠지게 되는데접기",https://series.naver.com/comic/detail.series?productNo=10554733&sortOrder=DESC#priceInfo
원작에 없는 인물로 태어났습니다,naverseries,한시령,호도,순정,연재중,월,27,9.9,62,3화,"[내가 쓴 소설 속에 없던 인물로 태어났는데, 여동생을 좋아해야 할 서브남주를 꼬셔버렸다]자신이 쓴 소설 속에 없던 인물로 태어난 탈레이아자신이 만들어낸 설정대로만 행동하는 인물들에 도저히 정이 붙질 않고, 원래 살던 세계의 가족과 친구들이 그리울 뿐이다그러던 어느 날, 탈레이아는 부모님의 뜻에 의해 원작의 서브 남주 아이기스를 만나고,원작대로라면 탈레이아의 여동생을 사랑해야할 아이기스는 탈레이아에게 청혼하는데접기",https://series.naver.com/comic/detail.series?productNo=10047255&sortOrder=DESC#priceInfo
귀촌리,naverseries,황양,이대한,드라마,연재중,일,22,9.9,13,9화,"평범한 시골 마을 '귀촌리'를 찾은 '허무명' 그는 돌아가신 할머니의 빈 집에 조용히 숨어든다 그런데 집이 이상하리만큼 깔끔하다 할머니가 돌아가신 건 3년 전인데? 어쩐지 마을 사람들은 이방인 무명의 방문을 달가워 하는 것 같지 않다 아니, 실은 경계하는 것 같다 그리고 그 날을 기점으로 마을 사람들이 하나, 둘 씩 사라지기 시작한다접기",https://series.naver.com/comic/detail.series?productNo=10845772&sortOrder=DESC#priceInfo
환생천마,naverseries,장영훈,부겸,무협,연재중,일,23,9.7,16,9화,"철혈의 맹주, 강호의 절대자 '천하진' 가문의 수치라 불리는 망나니 '벽리단'의 몸으로 깨어나다 취미는 사기도박, 검은 창고에 박아둔지 오래 하루아침에 천하제일인에서 천하의 쓰레기가 된 그는 다시 검을 잡고, 전생에서 이루지 못한 경지에 오르고자 한다",https://series.naver.com/comic/detail.series?productNo=10856132&sortOrder=DESC#priceInfo
설산의 괴물 황녀,naverseries,물보라,수호,순정,연재중,일,12,9.5,26,3화,"[매주 월요일 업데이트]선황제의 늦둥이 딸, 발레리 벨로프는 어미인 앨리시아에게 오랫동안 학대를 받다 그녀의 죄로 얼어붙은 설산에 유배를 당하게 된다그곳에서 불행히도 많은 이들을 공포에 떨게 한 괴물의 빙결 능력을 갖게 되어 끝내 절망한 발레리는 19살 생일에 스스로 죽음을 택하지만 죽음 속에서 눈을 떠보니 앨리시아에게 학대받던 9살의 어린 시절로 돌아왔다는 것을 깨닫게 되는데…발레리는 과거와 달라지기 위해 자신을 설산으로 유배시킨 황제이자 이복 오빠인 밀러드에게로 도망치고,“폐하 제발 저를 구해주세요 시키시는 건 뭐든 다 할게요 제발, 저 좀 살려주세요…”그날을 기점으로 발레리의 삶은 과거와 달라지게 된다그리고 소중한 가족들과 행복한 나날들을 보내던 발레리는 세상과 단절된 채 능력을 숨기고 살아가는 어둠 속의 아이를 만난다“안녕, 괴물”“나도 너와 같은 괴물이야”접기",https://series.naver.com/comic/detail.series?productNo=10776990&sortOrder=DESC#priceInfo
절세무신,naverseries,,용역범,무협,연재중,2일,11,7.9,414,8화,"현대 세계에 살던 주인공 ‘임풍’은 뜻밖의 사고로 무림 세계에 살던 약골 ‘임풍’의 몸에 빙의한다림 세계에선 강자가 곧 지존이고 법이다 갖은 멸시를 당하던 과거의 약골 ‘임풍’은 새롭게 태어나며, 무도(武道)의 최고봉을 향해 한 걸음씩 올라선다 그는 과연 자신을 괴롭힌 자들에게 복수를 할 수 있을 것이며, 절세의 무신이 될 수 있을까",https://series.naver.com/comic/detail.series?productNo=4912345&sortOrder=DESC#priceInfo
천검지존,naverseries,,소명태극,무협,연재중,일,4,9.1,179,4화,"도(刀)는 추앙받고 검(劍)은 멸시받는 시대무혼 중 가장 서열이 높은 도혼을 각성하면 가문의 자랑이자 다른 이들의 부러움도 한눈에 살 수 있었다 그리고 도혼 9성으로 각성할 기회를 얻은 초현 모두 그가 도혼으로 각성할 것이라 믿어 의심치 않았다 하지만어렸을 때 수련하다 우연히 만난 천도서가 말하길, 검혼을 각성해 천도본원결을 깨우치면 최강자가 될 수 있다고 한다 어려서부터 유달리 힘에 대한 열망이 강했던 초현은 도혼을 포기하고 결국 검혼 10성으로 각성하게 된다남들과 달리 어려운 길을 선택한 초현과연 그는 검혼으로 최강자가 될 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=8038156&sortOrder=DESC#priceInfo
내게 종말은 게임이다,naverseries,최우진,HOOPA,소년,연재중,6일,8,9.9,59,56화,백수나 다름없는 삶을 살던 게임 스트리머 고천수 시청자 수는 1명어느 날 플레이어로 지목된 그는 현실 세계의 서바이벌 게임에 내던져진다클리어 조건은 죽지 않는 것 24시간 라이브 생존 스트리밍이 시작된다접기,https://series.naver.com/comic/detail.series?productNo=9565051&sortOrder=DESC#priceInfo
일단 결혼부터,naverseries,머니,삐요,순정,일시적 휴재,월,4,9.7,41,3화,"언제나 우중충한 날씨, 범죄자들이 들끓고 우울증은 기본이라는-해가 뜨지 않는 저주 받은 땅, 동부그리고 그곳을 다스리는 괴물, 에카르드 공작사촌과 결혼할 위기에 처해있던 헤델은 괴물 공작에게 청혼을 받는다모두가 말리고 반대하지만, 헤델은 어쩔 수 없이 공작의 청혼을 받아들이게 되는데……“이런 음식은 난생처음 먹어봅니다”“마님이 오신 뒤로는 항상 해를 볼 수 있어요……”“동부는 이제 마님 없이는 살 수 없습니다”생각보다 동부 사람들을 잘 길들여버렸다?일단 결혼부터 시작해서, 동부를 점령하는 헤델의 이야기접기",https://series.naver.com/comic/detail.series?productNo=10786220&sortOrder=DESC#priceInfo
