이름,플랫폼,작가,그림,장르,상태,요일,좋아요,별점,총화수,무료,줄거리,첫화링크
흑랑 검은이리의 신부,naverseries,푸른새싹,루야,순정,완결,일,1,10.0,72,3화,"흑랑 북쪽 땅을 수호하는 영물이자 영혼을 사냥하는 검은 이리 욕망이 없던 그에게 욕망하는 것이 생겼다 바로 인간 세상에 태어난 영매화(靈媒華), 명 “너와 평생을 함께한다는 약조는 할 수 없어 그럼에도 불구하고, 나는 널 욕심 내고 싶다” 무심하고 무감하던 흑랑의 마음을 욕정으로 동하게 만드는 유일한 여인 앙큼하고 천진난만한 명으로 인해 그의 세상은 바뀌기 시작했다접기",https://series.naver.com/comic/detail.series?productNo=10516011&sortOrder=DESC#priceInfo
홍 의관의 은밀한 비밀,naverseries,유계진,유계진,순정,시즌 휴재,일,34,9.9,75,전화,"사람의 명줄을 보는 신비한 눈을 가진 천재 의원 홍계동 사실 그는 여인이다어느 날, 부득이한 사정으로 샌님이라 여긴 사내에게 술값을 떠넘기다 딱 걸리고 마는데명줄조차 보이지 않는 이 위험한 사내에게 아주 제대로 걸려들어 내의원까지 입성하게 된다접기",https://series.naver.com/comic/detail.series?productNo=8593070&sortOrder=DESC#priceInfo
내곁엔 없을까,naverseries,,쑤녕,순정,완결,14일,32,10.0,93,전화,"""아무도 나와 친해지고 싶어 하지 않을 거야""라고 늘 생각하는 나율에게 어느 날 같은 반 전학생인 서윤이 오게 된다 11살 때 나율과 제일 친했지만 알 수 없는 이유와 오해로 외면했고,지금도 여전히 그녀를 냉담하게 대한다늘 안개로 가득했던 나율의 하루는 맑아질 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=8693807&sortOrder=DESC#priceInfo
레벨이 갑이다,naverseries,영수,팀맷가마리,소년,완결,일,2,7.3,100,5화,"[이 게임에서 최고의 부자가 되겠어]최초로 등장한 가상현실 게임의 베타 테스터가 된 이서우하지만 불완전한 시스템으로 인해 참가자들의 접속은 끊어지지 않고,다른 참가자들이 사망한 가운데 이서우 홀로 살아남는다게임의 정식 서비스가 시작됨과 동시에 혼수상태에서 벗어난 이서우는,시간이 흘러 회복이 되자마자 다시 게임에 접속하는데'기대하는 게 좋을 거야 난 내가 가진 모든 것을 써서, 이 게임을 먹고 최고의 부자가 될 테니까'접기",https://series.naver.com/comic/detail.series?productNo=6857142&sortOrder=DESC#priceInfo
밀실 마피아 게임,naverseries,WONS,백지운,소년,완결,토,9,9.0,56,7화,"의지할 것은 오로지 자신의 두뇌 뿐평범한 고등학생이었던 강철중, 어느 날 그가 잠에서 깨어나보니 처음 보는 밀실에 갇혀 있었다 혼란스러운 상황에서 주변을 뒤져 발견한 것은 낡은 MP3 하나 MP3에 남아있던 메시지로 알게 된 것은 자신이 독이 중독되어 있다는 것과 앞으로 목숨이 3시간밖에 남지 않았다는 충격적인 사실이었다 평소 추리 퀴즈 마니아였던 강철중은 몇 년 동안 쌓아온 추리 실력을 토대로 단서를 찾아 밀실을 탈출하려고 노력한다 하지만 이상과 현실은 다른 법 실수를 연발하다 결국 독이 퍼져 피를 토하는 급박한 상황에 이르게 된 그의 눈에 띈 마지막 단서는 과연?",https://series.naver.com/comic/detail.series?productNo=8440593&sortOrder=DESC#priceInfo
장미같은 소리,naverseries,혜진양,듀영,드라마,완결,14일,13,9.9,99,8화,"아이돌그룹 플라워즈의 막내 '장미'는 생일날 갑자기 실종된다의지할 사람이라고는 같이 잡혀 온 비밀연애 중인 매니저 '승천'뿐인데, 어설픈 납치범들 A, B, C, D보다 승천이 어쩐지 더 쎄한 것도 같다여기서 무사히 나갈 수 있을까? 누구를 믿어야 할까? 잔혹한 심리 스릴러 드라마접기",https://series.naver.com/comic/detail.series?productNo=8135682&sortOrder=DESC#priceInfo
존망코인,naverseries,박만사,박만사,드라마,완결,42일,13,8.6,41,8화,"“코인 떡상으로 인생역전, 한번쯤은 상상해봤잖아?”인생을 포기하고 사채를 빌려 처음이자 마지막 사치를 즐기던 흙수저 ‘박의진’과 ‘고준형’그러나 죽음을 받아들이기 직전, 장난삼아 구매한 암호화폐 ‘존망코인’이 알 수 없는 이유로 폭등하기 시작하고 둘의 운명을 바꿔버리기 시작하는데접기",https://series.naver.com/comic/detail.series?productNo=6741969&sortOrder=DESC#priceInfo
마녀와 야수,naverseries,Kousuke Satake,Kousuke Satake,소년,시즌 휴재,금,22,9.7,60,1화,"무대는 ‘마녀’를 숭배하는 사람들의 마을--그곳에 나타난 것은, 관을 짊어진 남자와 짐승의 눈을 가진 소녀그들이 원하는 사냥감은 ‘마녀’, 단 하나뿐증오스러운 ‘마녀’와 굶주린 ‘야수’가 만났을 때, 화려하면서도 열기 넘치는 싸움의 막이 열린다신예 작가가 그려내는 전인미답의 피카레스크 판타지Majo to YajuuⓒKousuke Satake 2017All rights reservedFirst published in Japan in 2017 by Kodansha LtdKorean translation rights arranged by Kodansha Ltd접기",https://series.naver.com/comic/detail.series?productNo=3921094&sortOrder=DESC#priceInfo
소사이코티,naverseries,서한,연호,드라마,시즌 휴재,토,9,9.0,25,전화,"깊은 산 속에 위치한 명문 서로고등학교,입학 D+100 고립된 아이들이 미쳐가기 시작했다그 어떤 감정도 허락되지 않은 이곳은 '감정통제구역', 우리는 탈출할 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=8164430&sortOrder=DESC#priceInfo
위저드 셰프,naverseries,당가삼소,미얼,소년,시즌 휴재,수,6,8.6,168,5화,"어린 루니는 왜 엄마를 만날 수 없는지, 왜 엄마를 만나려 했을 뿐인데 아빠가 죽어야만 했는지 모른다 그는 단지 적은 얼음의 신의 탑이고 부모님의 원수를 갚아야 한다는 것만 알고 있다 자신을 구해준 할아버지에게 요리솜씨를 전수받은 루니는 우연한 기회에 불과 얼음 두 가지 마법을 모두 다룰 수 있게 된다 8년 뒤 루니는 복수를 꿈꾸며 홀로 여행을 떠나는데 요리사이자 불과 얼음 두 가지 마법을 다루는 마법사 루니는 과연 복수에 성공할 것인가?접기",https://series.naver.com/comic/detail.series?productNo=4101468&sortOrder=DESC#priceInfo
학교정벌,naverseries,나락,지앤,소년,완결,토,28,9.7,121,7화,학교는 공부하는 곳이 아니다대규모 전쟁 속 밑바닥들의 반란,https://series.naver.com/comic/detail.series?productNo=4810968&sortOrder=DESC#priceInfo
결혼하고 합시다,naverseries,해린,보파민,순정,완결,월,1,9.6,50,3화,"모아는 내 생애 결혼은 절대 NO를 외치고 다니는 비혼주의자이다그녀는 어느 날, 평소 엄격하고 냉철하기로 소문난 상사 건후를 알몸으로 마주하는 상황을 겪게 된다그런데 이럴 수가…… 정녕 저 몸매가 사람의 것이 확실하단 말인가마치 예술 조각상처럼 훌륭하고 황홀한 건후의 몸매에 모아는 부끄러움도 잊고, 그에게서 시선을 뗄 수가 없었다건후의 완벽한 나신을 보고난 후로부터, 모아는 지독한 후유증에 시달린다 바로 어디서 무엇을 하든 그의 몸밖에 떠오르지 않는 것이었다 괴로워하던 모아는 술에 취한 어느 날 밤, 그에게 폭탄 고백을 하고 만다“저…… 팀장님, 저랑 한 번 자보지 않으실래요?”제 정신이라면 도저히 꺼낼 수 없는 고백 입 밖으로 내뱉기 바쁘게 후회가 밀려오는 그 순간, 더 기가 막힌 대답이 그의 입에서 흘러나왔다“미안하지만 난 결혼할 여자가 아니면 안 합니다”#비혼녀 #혼순남 #철벽남 #섹시 로코물 #팀장님 절 믿으세요 #손만 잡고 잘게요접기",https://series.naver.com/comic/detail.series?productNo=10182288&sortOrder=DESC#priceInfo
