이름,플랫폼,작가,그림,장르,상태,요일,조회수,좋아요,총화수,무료,무료주기,줄거리,키워드,첫화링크
운빨,kakaowebtoon,와이낫미프로덕션,조약돌,판타지 드라마,연재,목,157.3만,6.3만,78,3,1일마다 무료,"내 삶에서 그렇게 터지지 않던 운빨이게임을 접기 직전, 단 한 방에 터졌다세계 최초 가상현실 게임 <서킷>에서 인생 역전하려던 이기호,4억 명의 플레이어 중 그 누구도 손에 넣지 못한 레어 아이템이그의 손에 들어왔다“이런 게 진짜 인생역전 아니냐”","궁금하게하는,통쾌한,판타지드라마,레벨업물",https://webtoon.kakao.com/content/%EC%9A%B4%EB%B9%A8/2959
신화급 영웅들의 계승자,kakaowebtoon,"자감, KWON",진까,판타지 드라마,연재,화,119.5만,4.6만,63,3,3시간마다 무료,"재능이 없어서 던전 공략자를 포기한""필기시험만 1등"" 한정민공략자 아카데미를 휴학하고방구석에서 판타지 소설을 쓰는데[당신은 세계로부터 표절당했습니다][고유 클래스 - 이야기의 원작자가 개화됩니다]어느 날 정민의 소설이 현실화가 되고,""이야기의 원작자""라는 하나뿐인 직업을 부여받는다게다가[유일급 고유능력이 개방됩니다]남들에게 없는 특수한 스킬까지정민은 던전 공략자의 꿈을 이룰 수 있을까?","통쾌한,환상적인,판타지드라마,레벨업물",https://webtoon.kakao.com/content/%EC%8B%A0%ED%99%94%EA%B8%89-%EC%98%81%EC%9B%85%EB%93%A4%EC%9D%98-%EA%B3%84%EC%8A%B9%EC%9E%90/3534
시간을 넘어 당신을 만나러 갑니다,kakaowebtoon,프림,프림,로맨스 판타지,연재,화,40.6만,1.3만,28,3,1일마다 무료,"천재 마법사 엘레노어약소국의 대마법사이자 공작인 그녀를 포섭하기 위해제국에서 사람이 오자, 그녀는 엄마가 죽었던 그날부터준비해 온 시간 마법을 발동했다24년을 거슬러 과거로 온 엘레노어는엄마를 찾아 나서지만, 모든 게 낯선 그녀는 한 남자를 만나게 된다제국의 공작 리암 템페리온그러나 엘레노어가 사는 미래엔 존재하는 않는 가문이었다비어버린 정보엘레노어는 과거의 진실에 다가가는데","발랄한,몰입되는,로맨스판타지,타임슬립",https://webtoon.kakao.com/content/%EC%8B%9C%EA%B0%84%EC%9D%84-%EB%84%98%EC%96%B4-%EB%8B%B9%EC%8B%A0%EC%9D%84-%EB%A7%8C%EB%82%98%EB%9F%AC-%EA%B0%91%EB%8B%88%EB%8B%A4/3968
진화 특성으로 최강 네크로맨서,kakaowebtoon,김성훈,장작,액션/무협,연재,월,108.7만,3.3만,46,4,3시간마다 무료,"어느날 특수부대 출신인 김진환에게 걸려온 전화 한 통정체불명의 전화를 끊자 그는 자신이 즐기던 게임 '죄악'의 네크로맨서, 아드리아스 크롬웰이 되어 눈을 뜨게 된다하지만 아드리아스는 게임 클리어는 커녕, 당장의 생존 마저 확신할 수 없는 캐릭터전투력도 형편없고, 재력이나 환경도 최악그것도 모자라 정체를 들키면 바로 죽고,잘 숨긴다 하더라도 1년 뒤엔 사망 이벤트가 찾아온다운명을 바꾸기 위해선 어떻게든 강해져야만 하는데,당장 기댈 수 있는 건 특전으로 받은 '진화' 특성 뿐자신도, 자신의 소환물도폭발적으로 성장 시킬 수 있는 이 특성을 통해아드리아스는 점점 최강 네크로맨서가 되어 간다최악의 조건에서 최강을 노리는 액션 판타지","압도되는,몰입되는,액션/무협,빙의물",https://webtoon.kakao.com/content/%EC%A7%84%ED%99%94-%ED%8A%B9%EC%84%B1%EC%9C%BC%EB%A1%9C-%EC%B5%9C%EA%B0%95-%EB%84%A4%ED%81%AC%EB%A1%9C%EB%A7%A8%EC%84%9C/3779
미친 악당의 품으로 떨어졌다,kakaowebtoon,윤지선,라닌,로맨스 판타지,시즌완결,일,131.1만,4.8만,52,3,3시간마다 무료,"빙의 하자마자 하늘에서 떨어졌다그것도 서부의 광룡, 살인귀라 불리는 미친 악당의 품으로“신부요? 제가요?”“하늘에서 떨어졌으니 내 신부지”한눈에 홀릴 정도로 달콤한 눈웃음에 그만 고개를 끄덕이고 말았다그 웃음이 마치 죽어도 나를 놓아주지 않겠다고 협박과 같아서그렇게 빙의한 소설 ‘모든 것은 악당님의 뜻대로’의 신조로납죽 엎드리면서 그의 비위를 맞춰 주며 생존하리라 결심했는데…“내 신부에게 나를 바칠게”살육만 알던 광기 어린 눈동자가 오직 나만 담고 있는 것 같았다아무래도 이 미친놈과 이별하기는 그른 것 같지……?","몰입되는,궁금하게하는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EB%AF%B8%EC%B9%9C-%EC%95%85%EB%8B%B9%EC%9D%98-%ED%92%88%EC%9C%BC%EB%A1%9C-%EB%96%A8%EC%96%B4%EC%A1%8C%EB%8B%A4/3708
크리스탈 아가씨는 남자다,kakaowebtoon,노논,노논,로맨스 판타지,시즌완결,목,483.2만,22.4만,67,4,3시간마다 무료,"로터리 가문의 막내 딸이자 몸이 약해서 별채 밖으로 나오지 않는연약한 아가씨, 크리스탈 로터리 그의 정체는 남자다 가문에서 살려 두는 건 여자뿐, 남자는 시체가 되거나 후계자가 되거나 둘 중 하나뿐이다빽도 힘도 없는 크리스탈의 유일한 목표는 로터리 가문을 떠나서 평범하게 살아가는 것살아남기 위해서 딸로 자랐다 죽은 사람처럼 숨죽이고 지냈다드디어 떠나려 했는데, 결혼을 하란다?궁지에 몰린 크리스탈은 로터리와 정치적으로 대립하는 펜트린 대공에게 청혼서를 넣는다당연히 거절할 줄 알았는데 허혼서가 돌아왔다 크리스탈은 펜트린 대공성으로 도망친다냉정한 북부의 주인, 잔인한 남자, 얼음장 같은 마음을 가진 사람크리스탈은 소문만 무성한 일리안 펜트린을 만난다그리고 결혼했다 어쩌다 보니?*“그리 긴장할 필요 없어요 난 그대에게 아무 짓도 하지 않을 테니까요”부부로서 맞이한 첫날밤, 크리스탈은 합방을 하지 않겠다는 말을 들었다이게 무슨 소릴까 넌 파혼당할 거라고 돌려 말하는 건가?숨결이 닿을 거리에서 일리안이 속삭인다“레이디에겐 죄송하지만…… 제가 고자라서요”세상에서 가장 다정한 목소리로 일리안 펜트린이 말했다","귀여운,발랄한,로맨스판타지,로맨틱코미디물",https://webtoon.kakao.com/content/%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%83%88-%EC%95%84%EA%B0%80%EC%94%A8%EB%8A%94-%EB%82%A8%EC%9E%90%EB%8B%A4/3307
샬롯에게는 다섯 명의 제자가 있다,kakaowebtoon,용용,용용,로맨스 판타지,완결,3시간마다 무료,1.4억,280.4만,213,10,3시간마다 무료,세상을 구한 위대한 대마법사 〈샬롯 엘레노어〉생애 마지막 마법을 시전하고 눈을 감는다하지만 이게 웬일?다시 눈을 떠보니 뜬금없이 어린아이가 되어버렸다마법은 스스로의 마음에서 시작되고 그 바람을 이루어 주는 것죽음을 앞둔 샬롯의 유일한 아쉬움은 바로… 「사랑」?고되었던 대마법사의 삶과 다섯 제자들을 뒤로하고 '아리아 리센'이란 이름으로 제2의 삶을 살아가기로 한다하지만 자신이 사라진 이후 제자들의 행적에 대한 소문들이 심상치 않은데…?스승님만을 찾아 헤매는 다섯 제자들과 다시금 드리우는 재앙의 그림자…샬롯은 과연 사랑을 찾을 수 있을까? ,"몰입되는,압도되는,로맨스판타지,환생물",https://webtoon.kakao.com/content/%EC%83%AC%EB%A1%AF%EC%97%90%EA%B2%8C%EB%8A%94-%EB%8B%A4%EC%84%AF-%EB%AA%85%EC%9D%98-%EC%A0%9C%EC%9E%90%EA%B0%80-%EC%9E%88%EB%8B%A4/1796
나를 잡아먹지 말아줘,kakaowebtoon,백지연,철갑상어,로맨스 판타지,완결,3시간마다 무료,652.7만,16.6만,133,4,3시간마다 무료,"“가격은 50억 마르카, 싸게 드리는 거예요”“과연, 헐값이군”남자 주인공에게 산 채로 잡아먹힐 운명을 타고난 ‘에르타’운명을 바꾸기 위해 그와의 결혼을 거래하다소설 속에서 환생했다 그것도 19금 남성향 판타지 소설 속으로내가 환생한 ‘에르타’는,원래 이야기대로라면 주인공 ‘자히드’에게 산 채로 잡아먹힌다하지만, 어린 동생들을 두고 그렇게 죽을 수는 없지날 잡아먹을 주인공에게 거래를 제안했다거래 대상은 나, 금액은 50억 마르카이제 내가 할 일은 주인공이 날 잡아먹기 전에 도망치는 것뿐이다나, 에르타는 과연왕국 최고의 마법사 자히드의 손에서 벗어날 수 있을까?","몰입되는,궁금하게하는,로맨스판타지,환생물",https://webtoon.kakao.com/content/%EB%82%98%EB%A5%BC-%EC%9E%A1%EC%95%84%EB%A8%B9%EC%A7%80-%EB%A7%90%EC%95%84%EC%A4%98/2462
책빙의는 이제 지겹다,kakaowebtoon,밤 빠,비나,로맨스 판타지,시즌완결,토,183.2만,7.7만,60,3,3시간마다 무료,"책빙의는 이제 지겹다그도 그럴 게, 이번이 벌써 네 번째 빙의니까이번에 빙의한 인물은 피폐물 여주의 악녀 언니였다‘아, 지겨워’이젠 빙의도 인생도 감흥이 없다그저 가늘고 길게 살다가, 다음 생으로 넘어갈까 했는데어째, 이번 빙의는 조금 다르다‘내가 왜 2회차의 내공을 쓸 수 있지?’‘여주는 또 왜 이렇게 신경 쓰이지?’원작 속 여주 엘리샤는, 머지않아 진창을 구르며 피폐해질 예정이었다전직 피폐물 주인공으로서 동생이 진창길 걷는 걸 볼 순 없지나는 내가 가진 모든 것을 이용해 엘리샤의 운명을 비틀 생각이다‘내 동생은, 여주 안 시켜’엘리샤 탈여주 프로젝트를 위해 남주의 형을 주워왔다<카시온 카터>남주에게 살해당할 뻔한, 아니, 살해당할 운명의 악역을“살고 싶으면, 나랑 약속 하나만 하자”붉은 것이 엉겨 붙은 얼굴에서 거친 숨이 뱉어졌다버림 받은 들짐승의 것처럼, 가여운 숨결이나는 가여운 사내의 얼굴을 쓰다듬으며 작게 속삭였다“내가 널 구해주면……”너는 목숨을 걸고, 내 동생을 지켜""","긴장감있는,궁금하게하는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EC%B1%85%EB%B9%99%EC%9D%98%EB%8A%94-%EC%9D%B4%EC%A0%9C-%EC%A7%80%EA%B2%B9%EB%8B%A4/3140
"하녀, 여왕이 되다",kakaowebtoon,"페퍼로니, 고을원",샤이네아,로맨스 판타지,완결,3일마다 무료,122.2만,4.2만,106,4,3일마다 무료,"하녀 출신이나 국왕의 애첩으로 살던 악녀, 유레이니아누명으로 처형당한 그녀는 뜻밖의 회귀를 하게 된다그것도 하녀였던 시절로""이번에도 일단 국왕의 애첩이 되어 보자 그리고 이번엔 사람들에게 밉보이지 않도록 조심하는 거야""하녀 일 말고는 해본 게 없던 유레이니아는 이번에도 철없는 목표를 가지지만""당신에겐 재능이 있습니다 그러니 보다 높은 곳도 가능할 텐데요""살아남기 위해 어쩔 수 없이 시작한 오스카 재상의 조수 일에서 뜻밖의 인정을 받기 시작한다""놀고먹는 게 왜요? 누구나 할 수만 있다면 그렇게 살고 싶지 않나요?""""향상심을 가질 생각은 없습니까?""일 밖에 모르는 오스카와 이상하게 자꾸 주변을 맴도는 국왕 사이에서 유레이니아의 '놀고먹고 싶은 소원'은 산산이 부서진다여왕에서 가장 멀어 보였던 여자의 성장기를 담은 본격 로맨스 코미디","설레는,발랄한,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%ED%95%98%EB%85%80-%EC%97%AC%EC%99%95%EC%9D%B4-%EB%90%98%EB%8B%A4/3390
