이름,플랫폼,작가,그림,장르,상태,요일,조회수,좋아요,총화수,무료,무료주기,줄거리,키워드,첫화링크
남주는 내가 차지한다,kakaowebtoon,RIYO,RIYO,로맨스 판타지,연재,화,35.8만,2.3만,49,3,1일마다 무료,"책을 읽었다보통 주인공에 감정이 이입되는데이상하게도 자꾸 남주를 걷어차 불행해진 여조가 신경이 쓰였다""저기……""""네, 아가씨""""내가 이안 호리슨 후작의 외동딸, 맞지?""이렇게 되려고 신경이 쓰였나어느새 그녀는 책 속의 여조, 아리스 호리슨이 되어 있었다그리고 그녀는 결심한다줄거리대로 살 순 없지 돈 많고 다정한 남주, 맘에 들었어좋아, 남주는 내가 차지한다 ","발랄한,궁금하게하는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EB%82%A8%EC%A3%BC%EB%8A%94-%EB%82%B4%EA%B0%80-%EC%B0%A8%EC%A7%80%ED%95%9C%EB%8B%A4/2993
죽은 건 난데 용사님이 미쳐 버렸다,kakaowebtoon,혹등고래,치와,로맨스 판타지,시즌완결,화,118.9만,4.5만,41,3,1일마다 무료,"나는 용사의 동료로, 용사를 대신해 마룡의 브레스를 맞고 죽었다뭐, 괜찮다 용사 엘키나스는 내 등을 믿고 맡길 수 있는 유일한 친구였다용사님이 멋진 여성과 결혼해서 여생을 보낼 수 있게 친구인 내가 대신 멋지게 눈을 감지 뭐…라고 생각했는데80년이 지난 뒤, 나는 완전히 새로운 몸으로 되살아났다그런데…""유감이군 아렌느 엘키나스는 미쳤다 아주 제대로 미쳤어""처음으로 들은 소식이 이따위다*어쩔 수 있겠어? 도와줘야지 내 죽음을 받아들이지 못하는 것 같은 친우를 돕기 위해내 정체를 숨긴 채 그의 곁에 남기로 했다엘키나스가 온전히 과거를 받아들이고 행복해지기를, 그게 내가 그를 위해 죽은 이유였으니까하지만… 그가 나를 알아보는 것 같다 ""너 …아렌느지""나는 내 얼굴을 매만졌다 분명 내 얼굴은 아렌느가 아닌데알아볼 리가 없어야 하는 거 아냐? ""절대로 놓치지 않을거야 …절대로""엘키나스가 눈을 빛내며 말했다","설레는,궁금하게하는,로맨스판타지,영혼체인지",https://webtoon.kakao.com/content/%EC%A3%BD%EC%9D%80-%EA%B1%B4-%EB%82%9C%EB%8D%B0-%EC%9A%A9%EC%82%AC%EB%8B%98%EC%9D%B4-%EB%AF%B8%EC%B3%90-%EB%B2%84%EB%A0%B8%EB%8B%A4/3700
시그리드,kakaowebtoon,글리,글리,로맨스 판타지,연재,화,566만,21.9만,93,3,3시간마다 무료,"늘 규칙대로 살았다바르게 살았다고 생각했다황제 폐하께도 목숨을 바쳐서 충성했다하지만 돌아온 건 단두대의 칼날뿐왜? 왜일까?죽음 앞에서 계속 되물었다 그런데 눈을 떠보니 죽기 5년 전으로 돌아와 있었다 그 동안 삶의 방식이 틀렸던걸까?그렇게 생각한 시그리드는 삶을 살아가는 방식을 바꾸기로 결심한다 먹는 것, 입는 것, 사는 것, 모두그렇게 바뀌기 시작한 그녀를 중심으로모든게 바뀌어 돌아가기 시작한다 그리고 시그리드는 오랜 라이벌이자 숙적인 베라무드를 마주 하게 되는데…""시작은 친구부터 해도 되니까""","따뜻한,감동적인,로맨스판타지,기사물",https://webtoon.kakao.com/content/%EC%8B%9C%EA%B7%B8%EB%A6%AC%EB%93%9C/3214
우아한 야만의 바다,kakaowebtoon,틸다킴,MINIM,로맨스 판타지,연재,화,292.4만,7.4만,75,3,3일마다 무료,"후작가에서 귀하게 자란 장녀, 이리나 노디악은 신분제가 흔들리기 시작하는 상황과 아버지의 사업 실패가 이어져 결국 집안이 망한 뒤 어릴적부터 알았던 일레노아의 집에 모든 권리가 넘어가게 되어 그의 집에 의탁하게 된다""제겐 당신에 대한 권리가 있습니다 그러니 이 몸에 상처를 입지 마세요""""이게 어디서 물건 취급이야?""그러나 하녀가 되어도 아카데미 시절에 미친X이라고도 불리던 성격은 어디 안 간다고, 자기 주관이 뚜렷하고 어디서나 당당한 이리나는 꿋꿋하게 일레노아 앞에 서있는다""나는 보기보다 할 수 있는 게 많아 하다못해 물건을 나를 수도 있어""그런 그녀를 완전히 소유하고 싶은 일레노아와 어려운 상황 속에서도 꿋꿋하게 앞으로 나아가려는 이리나두 사람은 앞으로 어떤 항해를 하게 될까?","당찬,성장하는,로맨스판타지,사업하는여주",https://webtoon.kakao.com/content/%EC%9A%B0%EC%95%84%ED%95%9C-%EC%95%BC%EB%A7%8C%EC%9D%98-%EB%B0%94%EB%8B%A4/2667
힐통령 - 태양의 사제,kakaowebtoon,"레드고, 용궁뎅이","방승호(STUDIO GRIFFIN), 손호원",학원/판타지,시즌완결,화,95.9만,4.1만,82,3,3시간마다 무료,"""저런 퀘스트를 하는 건 착해서가 아니라 그냥 호구인 거야, 호구""등 뒤에서 멀어지는 소리에 카이가 슬쩍 그들을 돌아봤다'내가 호구라고?''곤경에 처한 사람을 도와주는 게 잘 못된 거야?'[곤경에 처해있는 NPC에게 선행을 베푸셨습니다][선행 스탯이 1 상승합니다]착한 일을 하면 보상이 따라온다고?지금껏 보지 못한 급이 다른 사제가 나타났다","통쾌한,압도되는,학원/판타지,레벨업물",https://webtoon.kakao.com/content/%ED%9E%90%ED%86%B5%EB%A0%B9---%ED%83%9C%EC%96%91%EC%9D%98-%EC%82%AC%EC%A0%9C/2990
회귀한 아포칼립스의 폭군,kakaowebtoon,김독배,이문동 피바라기,액션/무협,휴재,화,29.5만,"6,907",36,3,1일마다 무료,"지옥문이 열린지 25년, 인류는 멸망했다단 한사람을 제외하고퀘스트를 클리어하고 지옥문이 열리기 3일 전으로 회귀한 남궁은다시 만난 딸을 지킬 것을 다짐한다신과 같은 존재인 8위상들의 선택을 받은 8무성의 특전을 독식하기 시작한다8무성 중 한자리를 뺏은 남궁은 앞으로 열릴 축제(카니발)들을회귀 전의 기억들로 하나하나 클리어한다그리고 앞으로 닥칠 일들을 대비해 동료를 모으고 강해지지만,점점 자신조차 겪어보지 못한 일들이 벌어지기 시작하는데…","압도되는,처절한,액션/무협,회귀물",https://webtoon.kakao.com/content/%ED%9A%8C%EA%B7%80%ED%95%9C-%EC%95%84%ED%8F%AC%EC%B9%BC%EB%A6%BD%EC%8A%A4%EC%9D%98-%ED%8F%AD%EA%B5%B0/3760
겜돌이를 공략하라,kakaowebtoon,낭토,낭토,로맨스,완결,화,181.8만,5.8만,43,44,연재 무료,"게임으로 밤새는 게 일상인 주인공 도정미고2 밸런타인데이, 정미의 베프 채희가학교에서 가장 인기 많은 선배에게 고백하고 거절당하는데알고 보니 그 선배는 정미의 게임 속 온라인 친구였다친구 채희의 짝사랑을 이루어주기 위해겜순이 정미는 온라인과 오프라인을 오가며비밀 큐피드 작전을 실행하는데","설레는,발랄한,로맨스,학원로맨스물",https://webtoon.kakao.com/content/%EA%B2%9C%EB%8F%8C%EC%9D%B4%EB%A5%BC-%EA%B3%B5%EB%9E%B5%ED%95%98%EB%9D%BC/3570
드래곤 레이디,kakaowebtoon,"윤수, 오리하나(콘티메이커스튜디오)",운설(악어스튜디오),판타지 드라마,시즌완결,금,96.6만,3.3만,55,4,1일마다 무료,"인간처럼 보이지만, 인간보다 강한 능력을 가진 존재, 씰세상 곳곳에 잠들어 있는 그들은 자신을 깨운 자에게 이름을 부여받고, 오직 그 사람을 지키기 위해서만 행동하는 신비로운 존재이다작은 어촌 마을의 평범한 요리사였던 줄리탄은 씰과 조우하고, 그녀의 붉은 눈동자와 닮은 이름을 선물한다""제 이름을 말해주세요""""카넬리안""""고결한 영혼의 계약자, 씰 카넬리안이 맹세합니다 기사 줄리탄 님을 저의 주인으로 모시겠습니다""하지만, 줄리탄은 자신의 평범한 능력으로는카넬리안의 비범한 능력을 감당할 수 없다는 사실을 깨닫는다결국 그는 그녀의 강한 능력에 걸맞는 새로운 계약자를 찾아주기 위해 긴 여정을 시작하는데","몰입되는,역동적인,판타지드라마,가상시대물",https://webtoon.kakao.com/content/%EB%93%9C%EB%9E%98%EA%B3%A4-%EB%A0%88%EC%9D%B4%EB%94%94/3568
엔젤릭 레이디,kakaowebtoon,,마루코믹스,로맨스 판타지,완결,3시간마다 무료,800.3만,24.2만,172,3,3시간마다 무료,"안젤라는 나의 소중한 친구였다 가족보다 그녀를 소중히 여겼고, 수도 사교계의 꽃으로 만들어주었다  하지만 내게 돌아온 건 배신이었다  황태자비가 되기 위해 벨체터 후작가에서 반역을 도모하고 있다며 나의 가문을 팔아넘겼고, 내 약혼자마저 그녀에게로 떠나갔다 하지만 단두대 아래서 죽음을 맞이하려던 그 순간, 난 안젤라와 처음 만났던 시절로 돌아와 있었다 이번에는 내가 그녀의 인생을 망가뜨리려 한다  안젤라, 네가 말했듯 나도 네가 불행해졌으면 좋겠어","통쾌한,궁금하게하는,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EC%97%94%EC%A0%A4%EB%A6%AD-%EB%A0%88%EC%9D%B4%EB%94%94/2442
신부의 밤,kakaowebtoon,맵다,문림,로맨스,완결,1일마다 무료,"1,624.5만",22.7만,78,3,1일마다 무료,"요괴들의 왕이자 이계의 유일한 용 진몽모든 걸 다 가진 그가 유일하게 갖지 못한 것은 꿈속의 정체 모를 여인멋대로 그의 꿈에 나타나 입술을 빼앗고 몸을 겹치고 정을 나눠놓고벌써 보름째 그를 찾아오지 않는 그녀에게 진몽은 목이 탄다그런데 하얀 눈이 내리던 어느 밤, 드디어 찾았다지독히 불행하여 바라는 것이 없는 여자, 하늘과그녀에게 모든 것을 내어주려고 하는 남자, 진몽의운명적이고 치명적인 이야기","에로틱한,환상적인,로맨스,할리퀸",https://webtoon.kakao.com/content/%EC%8B%A0%EB%B6%80%EC%9D%98-%EB%B0%A4/3076
아델리아 - 꽃의 속박,kakaowebtoon,NV,느루,로맨스 판타지,완결,3일마다 무료,57.9만,2.3만,78,3,3일마다 무료,"죽었던 그가 눈 앞에 있다?*천 년간 황가에 충성을 바쳐온 가문 제라드 황가는 천년의 충성을 뒤통수치기로 보답한다 황태자에게 가족도, 가문도, 사랑하는 사람도 모두 잃은 아델리아 제라드 소중한 이를 고통스럽게 죽인 황태자에게 복수를 결심하며 잠에 드는데, 일어나 보니 죽었던 그가 멀쩡히 살아 눈앞에 있다?“이건 꿈?”아델리아에게 주어진 또 한 번의 기회 그녀는 모든 것을 바꾸고 행복하게 살아갈 수 있을까?“반, 나랑 살래? 나랑 살면, 내가 잘해줄게”“예?”곰인 척하는 내숭백단 그와, 자기가 여우인 줄 아는 깜찍한 그녀의 이야기[회귀/ 노예→전쟁영웅 남주/ 주인→전쟁포로(라기엔 너무 편안하고 행복한) 여주/ 다정한 계략 집착남/ 귀여운 여주/ 약간의 착각/ 상대적 노안 남주/ 동안 여주]","통쾌한,발랄한,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EC%95%84%EB%8D%B8%EB%A6%AC%EC%95%84---%EA%BD%83%EC%9D%98-%EC%86%8D%EB%B0%95/3428
학사귀환,kakaowebtoon,,외솔,액션/무협,완결,1일마다 무료,569.5만,15.3만,202,3,1일마다 무료,"관리가 되기 위해 길을 떠났던 학사, 마현 행방불명된 지 십 년 만에 절대고수가 되어 돌아왔다  “불효자 마현…… 돌아왔습니다”  흑천맹이란 수상한 암조직을 뒤쫓는 한편, 학문의 뜻을 펼치고자 와룡서원을 열게 된다  개성이 넘치는 10명의 제자들을 잘 키워내고, 흑천맹의 정체도 밝혀 낼 수 있을까?  중원 최강의 스승 마현의 서원 이야기가 지금 펼쳐진다","따뜻한,역동적인,액션/무협,회귀물",https://webtoon.kakao.com/content/%ED%95%99%EC%82%AC%EA%B7%80%ED%99%98/2410
추위타는 북부대공,kakaowebtoon,누기,누기,로맨스 판타지,완결,15,66.9만,2.6만,77,3,1일마다 무료,"피폐 로판 소설 빙의 20년차 황궁 마법사 니샤원작에 휘말리지 않기 위해 도망치려다 황제에게 붙잡혀 도리어 사형 위기에 처한다마녀의 저주에 걸린 북부대공의 비밀을 알아내면 살려주겠다는 황제의 제안에 따라 혹한의 영지로 향하고, 그곳에서 소문난 냉혈한이자 ""몹시 추위를 타는"" 북부대공을 만나게 되는데","발랄한,설레는,로맨스판타지,로맨틱코미디물",https://webtoon.kakao.com/content/%EC%B6%94%EC%9C%84%ED%83%80%EB%8A%94-%EB%B6%81%EB%B6%80%EB%8C%80%EA%B3%B5/3704
"황녀, 미친 꽃으로 피어나다",kakaowebtoon,황만주,문토,로맨스 판타지,시즌완결,수,180.7만,8.5만,87,3,3일마다 무료,"""저, 멜로디 코르벨라가 그 결혼을 하고 싶습니다""눈을 반짝이며 씩씩하게 들어 올린 오른팔이 무안하리 만큼황녀를 제외한 나머지 사람들의 반응은 싸늘하기만 하다이때, 침묵을 깨고 입을 여는 황자 데이모스""저 미친 것을 보내시면 안 됩니다, 폐하""그동안의 미친 짓이 결실을 맺는 순간이었다모두가 바라는 황녀의 모습에서 벗어나는 것 만이국혼을 피할 수 있는 유일한 방법이었기에,단발머리와 바지를 택했고 황궁의 미친 꽃으로 거듭났다","통쾌한,몰입되는,로맨스판타지,레벨업물",https://webtoon.kakao.com/content/%ED%99%A9%EB%85%80-%EB%AF%B8%EC%B9%9C-%EA%BD%83%EC%9C%BC%EB%A1%9C-%ED%94%BC%EC%96%B4%EB%82%98%EB%8B%A4/2994
충직한 검이 되려 했는데,kakaowebtoon,섬다,ilye,로맨스 판타지,시즌완결,화,184.6만,11.4만,74,4,3일마다 무료,"아픈 동생의 약값을 벌기 위해 용병이 되었고,검을 손에서 뗀 적이 없었다 그러던 어느 날, 넘어져서 전생을 기억해 버렸으니이곳은 사실 동생이 주인공인 역하렘 소설 속이고, 나는 피에 미친 악마, 크리시스 공작의 딸이었다는 것크리시스 공작과 엮일 생각은 없었건만, 동생의 병이 급격히 악화되어 어쩔 수 없이 공작가로 찾아가게 되었는데……“내 딸은 그 누구에게도 무릎 꿇을 필요 없다 설령 이 제국의 황제라 할지라도, 네 무릎을 다시 굽히게 할 수 없을 것이다”피도 눈물도 없다는 크리시스 공작이 조금 이상하다“슈슈 언니 눈에서 눈물 나면 죽음뿐이다, X자식들아”천사 같던 여동생 아리아도 왜인지 흑화를 했다“그대가 살려준 목숨이니 그대가 책임을 져야지 나와 함께 보낸 밤을 잊은 건가?”“아주 오랫동안 당신을 동경했습니다 당신의 일부라도 내게 내어줄 수 없는 겁니까?”“왕후가 되기 싫어? 그럼 그대가 국왕 해 내가 국왕 부군 하지 혼수는 왕국이면 되나?”사람들은 내가 태양신을 섬기는 교황이라고 생각하지만, 사실 내게 신은 당신이란 거 아나요?”동생 어장 속 물고기들도 내게 작업을 걸어온다 세상이 미친 걸까?","몰입되는,역동적인,로맨스판타지,환생물",https://webtoon.kakao.com/content/%EC%B6%A9%EC%A7%81%ED%95%9C-%EA%B2%80%EC%9D%B4-%EB%90%98%EB%A0%A4-%ED%96%88%EB%8A%94%EB%8D%B0/3001
경성크리처 외전 : 지지않는 꽃,kakaowebtoon,모아이,모아이,공포/스릴러,연재,수,88.3만,3.2만,38,39,연재 무료,"일제 강점기 말사기꾼 류병길은 사기꾼으로서 자신의 이름이 알려지기 시작하자신분을 세탁하고 일본 본토에서 살기 위해 준비하고 있었다하지만 그런 그에게 조선군 간부가 ‘살인마의 길 안내’를 요구한다말을 듣지 않으면 병길을 체포할 것이라고병길은 쓰고 버려질 게 분명한 이 이상한 요구에서 벗어나기 위해도망갈 준비를 하다가 조선군보다 먼저 그 살인마를 발견하고 만다살인마의 이름은 금란세상 물정 모르는 섬 처녀에, 포학하고,말도 안 되는 괴력과 청력을 가졌다병길은 과거에 자신의 동료들을 죽인 누군가와 살인마의 괴력을 겹쳐보게 되어, 달아난 살인마를 쫓아 나서게 되는데…","긴장감있는,압도되는,공포/스릴러,복수물",https://webtoon.kakao.com/content/%EA%B2%BD%EC%84%B1%ED%81%AC%EB%A6%AC%EC%B2%98-%EC%99%B8%EC%A0%84-%EC%A7%80%EC%A7%80%EC%95%8A%EB%8A%94-%EA%BD%83/3895
내 부하들이 미친듯이 유능하다,kakaowebtoon,반인반교,앤트스튜디오,학원/판타지,시즌완결,금,79.1만,2.6만,72,3,1일마다 무료,"미궁의 심층 지대는 후퇴가 불가능한 지옥행영웅의 반열에 접어든 게이머들, 한 시대 절대강자라 불렸던 존재들마저 심층 지대 클리어에 실패했다“기적이 일어나지 않는 한, 너희는 반드시 죽을 것이다 기적을 일으킬 각오가 되었는가”부하들이 굳은 표정으로 대답했다“없습니다”“없어”“없는데” …없는 거야? 미친 듯이 유능한, 아니면 그냥 미친 것 같기도 한 부하들과 정상에 오르는 호연의 좌충우돌 게임 판타지 <내 부하들이 미친 듯이 유능하다>","통쾌한,웃기는,학원/판타지,성공성장물",https://webtoon.kakao.com/content/%EB%82%B4-%EB%B6%80%ED%95%98%EB%93%A4%EC%9D%B4-%EB%AF%B8%EC%B9%9C%EB%93%AF%EC%9D%B4-%EC%9C%A0%EB%8A%A5%ED%95%98%EB%8B%A4/3593
이번 생은 내가 주인입니다,kakaowebtoon,얼,모모,로맨스 판타지,완결,3일마다 무료,267.2만,12.3만,102,3,3일마다 무료,"크로이젠 후작가의 사생아로 태어난 헤르나는가문의 후계자가 될 수있는 수호석의 주인이 된다하지만 이복언니에게 속아 수호석을 흡수하지도 못한 채이복 언니의 사주를 받은 약혼자의 손에 죽음을 맞이하게 된다죽음의 문턱에서 몸 속의 정체모를 힘과 계약한 헤르나는 2년 전 과거로 회귀하게 되고,크로이젠의 모든 것을 그들에게서 빼앗기로 마음먹는데","긴장감있는,몰입되는,로맨스판타지,타임슬립",https://webtoon.kakao.com/content/%EC%9D%B4%EB%B2%88-%EC%83%9D%EC%9D%80-%EB%82%B4%EA%B0%80-%EC%A3%BC%EC%9D%B8%EC%9E%85%EB%8B%88%EB%8B%A4/2917
던전 리셋,kakaowebtoon,앤트스튜디오,앤트스튜디오,학원/판타지,연재,화,981.4만,40.6만,197,3,3시간마다 무료,"[던전이 리셋됩니다] 한번 플레이한 던전이나 함정은 다음 '유저'들을 위해 '리셋'이라는 과정을 거친다그 '리셋'이, '나'에게는 적용되지 않는다?  끊임없이 리셋되는 던전에서 유일하게 자유로워진 존재압도적인 노가다로 무장한 '버그 종자' 정다운의 던전 개척기가 시작된다","귀여운,웃기는,학원/판타지,레벨업물",https://webtoon.kakao.com/content/%EB%8D%98%EC%A0%84-%EB%A6%AC%EC%85%8B/2373
고백의 이유,kakaowebtoon,(주)모션코믹스,(주)모션코믹스,로맨스,완결,1일마다 무료,151.8만,3.2만,76,3,1일마다 무료,"광끼, 가을동화, 겨울연가 <오수연> 작가 드라마화 결정서은수 작가 “고백의 이유”, 웹툰 고백이란 자격이 주어지는 것 상대를 원망할 자격, 사과를 요구할 자격, 잘못했다 미안하다 빌 수 있는 자격, 차 버리고 차일 수 있는 자격 그러나 나는, 우리는 그러한 자격을 얻지 못한 채……초여름, 정원 수돗가에서 상추를 씻던 이수완은 서진하와 눈이 마주친다 할머니가 특별히 초대한 손님 때문에, 며칠간 가사노동에 시달린 수완은 그를 보는 눈빛이 곱지 않다 이번 한 번만 참고 견디면 다시는 보지 않을 것이라고 생각했는데, 이상한 일이 벌어진다 그가 매일같이 집에 놀러 와 얼굴 도장을 찍고 가는 것 건강식에 집착해 엄마와 수완을 들들 볶는 할머니를 간단히 설득하여 배달 음식을 시켜 먹는 등 집안일에서 해방시켜 준다 수완은 점점 진하의 방문을 기대하며 그를 의식하기 시작한다 엄마를 미워하는 할머니와 이복 오빠의 괴롭힘을 견디다 못해 무작정 가출한 그 겨울, 수완의 앞에 진하가 나타난다 따뜻한 음식과 함께 그가 건넨 선물 같은 말 “과외하자 내가 너, 내 후배 만들어 줄게”조심스럽게 시작된 비밀 과외 S대에 입학해 이복 오빠의 코를 납작하게 눌러 주고 싶었던 처음의 결심보다, 그를 보고 싶은 마음이 점차 커져간다 진하의 마음도 같을 거라고 생각했다 이제 남은 것은 고백 뿐이었고, 모든 것이 아름다웠다 가장 친한 친구에게서 충격적인 고백을 듣기 전까지는…… ","따뜻한,설레는,로맨스,힐링물",https://webtoon.kakao.com/content/%EA%B3%A0%EB%B0%B1%EC%9D%98-%EC%9D%B4%EC%9C%A0/3072
남궁세가 막내공자,kakaowebtoon,개작가,"붕뎅, 용아",액션/무협,시즌완결,화,226만,5.7만,60,3,1일마다 무료,"남궁세가의 막내공자, 남궁대소소가주 경합에서 단전을 잃고 어이없는 죽음을 맞이해 과거로 회귀하는데천하제일세가의 막내 공자?이딴 거 살아가는데 거추장스럽기만 했다패도 따윈 개나 줘버리라지머저리 같은 남궁,무림 폐품 막내공자는 떠납니다","발랄한,역동적인,액션/무협,환생물",https://webtoon.kakao.com/content/%EB%82%A8%EA%B6%81%EC%84%B8%EA%B0%80-%EB%A7%89%EB%82%B4%EA%B3%B5%EC%9E%90/3450
아비무쌍,kakaowebtoon,노경찬,이현석,액션/무협,완결,1일마다 무료,4.3억,457.6만,298,12,1일마다 무료,"무협웹툰? 육아웹툰?하늘의 뜻을 아니 아비는 무쌍이다고아로 떠돌다가 운 좋게 만난 스승에게 무공을 배워 칼 밥을 먹으면서 이름을 날리던 노가장행복한 결혼 생활의 기쁨도 잠시 노가장은난산으로 하루아침에 아내와 사별하게 되고, 홀아버지로서 어미를 떠나보낸 세쌍둥이를 키우기 위해서천하 삼대 문파 중 하나인 천룡회의 갑급 무사로서 들어가 문지기 생활을 시작하며아이들을 더욱 잘 키우기 위해 출장 임무들을 떠맡게 된다하지만, 그 임무들은 갈수록 위험해져서 갔고, 그 속에서 노가장의 활약은 아름아름 알려져 나가게 된다그 와중에 너무나도 잘 큰 세쌍둥이의 재능을 사방에서 눈독을 들이는데…","역동적인,몰입되는,액션/무협,배틀물",https://webtoon.kakao.com/content/%EC%95%84%EB%B9%84%EB%AC%B4%EC%8C%8D/1395
공작님을 길들여 버렸습니다,kakaowebtoon,구름에 숨은 달,스푼코믹스,로맨스 판타지,완결,1일마다 무료,74.2만,3만,66,3,1일마다 무료,"똥손 중에 똥손인 내가 하필이면 소설 속에서 화가인 조연,비올라에 빙의했다똥손이 어떻게 화가를 연기할 수 있겠나만천하에 똥손임을 공표하는 수밖에그런데…“이렇게 독창적인 화풍은 처음 봐요”…내가 미술계에 센세이션을 일으키게 되었다그리고 철저히 의도하에 소설 속 남주를 고자로 만들게 되는데,“만인의 고자가 되었으니 영애가 책임지십시오""이 자식 정말 고자인 건 아니겠지?","설레는,웃기는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EA%B3%B5%EC%9E%91%EB%8B%98%EC%9D%84-%EA%B8%B8%EB%93%A4%EC%97%AC-%EB%B2%84%EB%A0%B8%EC%8A%B5%EB%8B%88%EB%8B%A4/3335
악녀를 죽여줘,kakaowebtoon,해기,해기,로맨스 판타지,완결,3일마다 무료,"1,670.5만",55.4만,102,3,3일마다 무료,"소설 속 악녀, 에리스 미제리안착하고 사랑스러운 주인공 헬레나를 질투해음모를 꾸미다 사형당하는 후작가의 외동딸그녀에게 빙의한 '나'의 목표는 오직이 세계를 탈출해서 집으로 돌아가는 것그것을 위해서라면 죽음도 불사하겠노라 각오했지만'나'를 옭아맨 세계의 법칙은 끈질기기만 하다예전과는 달라진 에리스의 모습에에리스를 증오하던 소설 속 세 남주,황태자와 대신관, 용사마저 시선을 보내기 시작하는데…""그렇다고 해도 나는 도저히이 세계를 사랑할 수 없다""여기를 나갈 방법이 오직 죽음뿐이어도그걸 위해 마녀와 손을 잡는다고 해도나는 반드시 이 세계를 탈출하겠어운명을 거부하는 악녀 에리스의 이세계 탈출기","압도되는,처절한,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EC%95%85%EB%85%80%EB%A5%BC-%EC%A3%BD%EC%97%AC-%EC%A4%98/2486
내 턴은 끝나지 않아,kakaowebtoon,OTCL,Tenryoji Sena,판타지 드라마,시즌완결,월,16.2만,"3,994",50,4,1일마다 무료,"갑자기 세계를 덮친 던전화 현상그와 동시에 '게이트 카드'를 다루는 '각성자'들이 나타났고인류는 이 재해를 조금씩 극복해 나간다각성자 시험에 아슬아슬하게 합격한 '박한빛'은던전 공략을 주 업무로 하는 회사에서 엘리트 각성자들에게 혹사당하고 있었다그러던 어느 날, 흉악한 던전 몬스터를 눈앞에 두고비열한 배신에 의해 죽음의 위기에 직면한 '박한빛'이 손에 넣은 것은'게이트 카드'를 무한대로 사용할 수 있는 상식을 벗어난 이능력이 세계의 법칙을 초월한 최강의 존재가 된 '박한빛'이자신을 괴롭히던 존재들에게 던지는 반격의 턴은영원히 끝나지 않는다        ","통쾌한,몰입되는,판타지드라마,성공성장물",https://webtoon.kakao.com/content/%EB%82%B4-%ED%84%B4%EC%9D%80-%EB%81%9D%EB%82%98%EC%A7%80-%EC%95%8A%EC%95%84/3754
미운 노새 이야기,kakaowebtoon,,Cacti,로맨스 판타지,시즌완결,3시간마다 무료,399.4만,13.1만,136,49,3시간마다 무료,"""이게 그 여자의 딸이라고?""고귀한 아델하이트 여왕의 사생아로서 젖 떼기도 전에 버림받고 천덕꾸러기 신세로 방치되어 자랐던 소녀 타라는 어느날 얼굴 한번 본 적 없는 악명 높은 서부의 대마법사 쥬다에게 보내진다타라의 후견인이라는 그의 비인간적으로 차가운 아름다움에 그녀는 압도되고,그와 성의 식구들은 여왕을 혐오하며 조그만 계집아이를 꺼림칙하게 여긴다허나, 소녀의 순수하고 애처로운 사랑스러움은 냉랭한 불사의 마도사의 심장마저 녹여버리는데……""애교 부리지 마 여우 같으니라고""""왜 자꾸 나한테 여우라고 해요?""""그 애가 설사 파멸이라해도 상관없어 나에게 삶과 파멸은 매한가지니까""오직 한 소녀에게만 다정한 집착 냉혈 '후견인'과 상처 많은 조그만 '아가씨'의 힐링 로맨스 판타지","따뜻한,감동적인,로맨스판타지,힐링물",https://webtoon.kakao.com/content/%EB%AF%B8%EC%9A%B4-%EB%85%B8%EC%83%88-%EC%9D%B4%EC%95%BC%EA%B8%B0/2587
대도오,kakaowebtoon,아드레날린,엔돌핀,액션/무협,연재,화,29.4만,1.2만,51,4,3일마다 무료,""" “가로막는 자는 죽는다”철기맹과 구륜교가 패권을 다투던 감숙성 지역, 어느 날 이곳에 싸움꾼 대도오가 나타난다 그는 철기맹의 흑기당에서도 떨거지 취급이던 풍자조의 조장이 되지만 의외로 전장에서 혁혁한 전공을 세우며 활약한다 그런 와중에 생각지도 못한 마수가 철기맹과 구륜교에 뻗치며 사태는 예상치 못한 방향으로 흐르게 되는데?대도오의 선택은 어디로 향할 것인가?살아남는 것이 강함을 증명하는 발버둥이 시작된다","몰입되는,긴장감있는,액션/무협,전쟁물",https://webtoon.kakao.com/content/%EB%8C%80%EB%8F%84%EC%98%A4/3199
무자비하게도,kakaowebtoon,이원식,박진환,액션/무협,완결,15,"1,291.4만",34.4만,40,3,3시간마다 무료,특수부대 북파공작원 출신 인간 흉기 '도장곤'그런 그가 양 팔을 다친 상태로 인권유린과노동착취를 일삼는 '대산복지원'에 잡혀 들어갔다의사가 말한 완치까지 걸리는 시간은 한 달그는 복지원에서 양 팔이 나을 때까지 버텨내야 한다,"통쾌한,처절한,액션/무협,복수물",https://webtoon.kakao.com/content/%EB%AC%B4%EC%9E%90%EB%B9%84%ED%95%98%EA%B2%8C%EB%8F%84/3451
